Comment.ID,touchpoint_id,Analyst,Firm,Setting,Comment Sentiment,Comments,Proposed.Summary,Date,Tags,Technology,Main Competition,Primary.Spokesperson,dev_mention,acquisition_mention,Campaign
C8203,T1970,Kevin Rhone,Enterprise Strategy Group,Verbal Comment,Positive,"Kevin was impressed with how much we've accomplished in less than a year.
Kevin loved the value continuum concept and said that not enough people talk about that.
He was still unclear about the universal partner licensing concept.
Kevin agreed with the ecosystem solutions idea because it is use case (""success story"") focused. Increasingly customers and indirect partners want to talk about business outcomes and solutions. ""Want the partner to build on you and deliver a solution to the customers.""
Loved the profitability of the relationship.","Impressed with accomplishments over the last year. Loved the value continuum concept, partner relationship profitability, and agreed with ecosystem solutions. Want the partner to build on you and deliver a solution to the customers.",3/30/2021,Partner readiness,Partner Program,,Sandy Hogan,0,0,
C8202,T1970,Kevin Rhone,Enterprise Strategy Group,Verbal Comment,Negative,Cisco has always been a gold standard for partnering.,Cisco has always been a gold standard for partnering.,3/30/2021,Partner readiness,Partner Program,,Sandy Hogan,0,0,
C8201,T1970,Kevin Rhone,Enterprise Strategy Group,Verbal Comment,Positive,"Kevin liked our 3 model framework (sell through, orchestrate with and build with) and said we are sending a clear message to the partners.","Liked our 3 model framework (sell through, orchestrate with and build with) and said we are sending a clear message to the partners.",3/30/2021,Partner readiness,Partner Program,,Sandy Hogan,0,0,
C8200,T1953,Pam Miller,IDC,Verbal Comment,Advice,"Pam advised we need to build a more robust developer community, similar to Cisco's DevNet
""You have to build a more robust developer community and should have your own marketplace with things your partner developed, your own products, etc. You have not focused on this to the level you need to. It needs to be more central to VMware.""","Pam advised we need to build a more robust developer community, similar to Cisco's DevNet and should have our own marketplace with things our partner developed, and our own products, etc.VMware has not focused on this to the level we need to.",3/24/2021,Developer Strategy,Partner Program,Cisco,Sandy Hogan,1,0,
C8199,T1953,Pam Miller,IDC,Verbal Comment,Advice,Salesforce has done a good job making sure they have partner coverage for each of the different use cases in various industries/verticals instead of approaching it from internal products or geo perspectives.,Salesforce has done a good job making sure they have partner coverage for each of the different use cases in various industries/verticals instead of approaching it from internal products or geo perspectives.,3/24/2021,Partner readiness,Partner Program,,Sandy Hogan,0,0,
C8198,T1953,Pam Miller,IDC,Verbal Comment,Advice,Recommended we focus on partners that provide the most value to the customer instead of the partners that bring the highest revenue to VMware.,Recommended we focus on partners that provide the most value to the customer instead of the partners that bring the highest revenue to VMware.,3/24/2021,Partner readiness,Partner Program,,Sandy Hogan,0,0,
C8197,T1954,Steve White,IDC,Verbal Comment,Neutral,Believes that anyone with a services background has an advantage in customer success. Companies need to ensure they have the customer at the center.,Believes that anyone with a services background has an advantage in customer success. Companies need to ensure they have the customer at the center.,3/24/2021,Partner readiness,Partner Program,,Sandy Hogan,0,0,
C8196,T1954,Steve White,IDC,Verbal Comment,Neutral,A lot of partners are moving away from the break and fix approach to a proactive/managed services approach. This is a good way to help partners understand customer success.,A lot of partners are moving away from the break and fix approach to a proactive/managed services approach. This is a good way to help partners understand customer success.,3/24/2021,Partner readiness,Partner Program,,Sandy Hogan,0,0,
C8195,T1953,Pam Miller,IDC,Verbal Comment,Advice,Pam believes it is important to have CS people/CS Managers in sales who are tasked with renewals and have customer satisfaction as their goals.,Believes it is important to have Customer Success Managers in sales who are tasked with renewals and have customer satisfaction as their goals.,3/24/2021,Partner readiness,Partner Program,,Sandy Hogan,0,0,
C8194,T1954,Steve White,IDC,Verbal Comment,Advice,"Steve believes CS needs to become part of the DNA of the company. Everyone needs to be involved but marketing needs to orchestrate it. AWS and Salesforce have ""customer obsession"" as part of their values and measure everyone on it.",Customer Success needs to become part of the DNA of the company. Everyone needs to be involved but marketing needs to orchestrate it. AWS and Salesforce have customer obsession as part of their values and measure everyone on it.,3/24/2021,Partner readiness,Partner Program,AWS/Amazon,Sandy Hogan,0,0,
C8193,T1930,Michael Maziarka,Gartner,Verbal Comment,Advice,"Mike cautioned against customer pushback on the differences between paid and free CS offerings
""I'd caution about if you separate out what's embedded and what you're charging for, it will bring a question of why this isn't bundled?""
Mike believes we will see less resistance from the customers with a lot of complexity. The challenge will be with touch elements that were included that now customers need to pay for.",Caution about separating out what's embedded and what we're charging for. It will bring a question of why this isn't bundled. We will see less resistance from the customers with a lot of complexity. The challenge will be with touch elements that were included that now customers need to pay for.,3/17/2021,Customer Related,Customer Success,,Meenu Agarwal,0,0,
C8192,T1907,Cyndi Privett,Viewpoint research,Verbal Comment,Positive,Cyndi said we've done a good job in making partners feel heard and trying to fix their challenges.,VMware has done a good job in making partners feel heard and trying to fix their challenges.,3/11/2021,Partner readiness,Partner Program,,Sandy Hogan,0,0,
C8191,T1907,Cyndi Privett,Viewpoint research,Verbal Comment,Neutral,"Partners are suffering from console and dashboard fatigue, and having to manage multiple environments.","Partners are suffering from console and dashboard fatigue, and having to manage multiple environments.",3/11/2021,Partner readiness,Partner Program,,Sandy Hogan,0,0,
C8190,T1945,Radoslav Dragov,IDC,Verbal Comment,Positive,"Rado was impressed with the ASX example. ""Congratulations. Sounds like a very complex project, especially since the government is involved.""","Rado was impressed with the ASX example. ""Congratulations. Sounds like a very complex project, especially since the government is involved.""",3/23/2021,Customer Related,Blockchain,,Tanya Shastri,0,0,
C8189,T1936,Fabio Chesini,Gartner,Verbal Comment,Negative,Fabio thinks that incumbent players in Blockchain like ByteDance and Coinbase will have an advantage when banks are choosing a blockchain platform to partner with.,Believes that incumbent players like ByteDance and Coinbase will have an advantage when banks are choosing a blockchain platform to partner with.,3/22/2021,Competitive mentions/intel,Blockchain,,Tanya Shastri,0,0,
C8188,T1936,Fabio Chesini,Gartner,Verbal Comment,Negative,He does not anticipate that traditional stock exchanges will go through the transformation to Blockchain.,He does not anticipate that traditional stock exchanges will go through the transformation to blockchain.,3/22/2021,Market Dynamic,Blockchain,,Tanya Shastri,0,0,
C8187,T1936,Fabio Chesini,Gartner,Verbal Comment,Negative,All private-permissioned blockchain platforms are struggling (examples of R3/Corda and IBM). They are asking Gartner how to transform GTM strategy.,All private-permissioned blockchain platforms are struggling (examples of R3/Corda and IBM). They are asking Gartner how to transform GTM strategy.,3/22/2021,Market Dynamic,Blockchain,,Tanya Shastri,0,0,
C8186,T1936,Fabio Chesini,Gartner,Verbal Comment,Negative,"Fabio cautioned that he has not yet seen momentum in the Blockchain markets. He does not see a competitive advantage and his advice to banks so far is ""wait and see...you do not need to invest (yet)""","Fabio cautioned that he has not yet seen momentum in the Blockchain markets. He does not see a competitive advantage and his advice to banks so far is ""wait and see...you do not need to invest (yet)""",3/22/2021,Market Dynamic,Blockchain,,Tanya Shastri,0,0,
C8185,T1932,Irma Fabular,Gartner,Verbal Comment,Advice,"Irma suggested that we emphasize the complexity of the environments of clients in case studies (like NYC)
Are you the glue that helps to simplify what otherwise is a very complex environment?
This will make for a more compelling story.",Adviced we emphasize the complexity of the environments of clients in case studies (like NYC) and that VMware is the glue that helps to simplify otherwise complex environment.,3/18/2021,Messaging,Government,,Doug Harvey,0,0,
C8184,T1916,Irma Fabular,Gartner,Verbal Comment,Advice,"Cautioned us on the use of the term ""platform"" to describe our offering. ""Platform"" seems to be used frequently in briefings (included as Hype Cycle technology)
Salesforce and AWS would use the same ""Platform"" term when speaking with Gartner, even though they are different things","Cautioned us on the use of the term ""platform"" to describe our offering. Salesforce and AWS would use the same ""Platform"" term when speaking with Gartner, even though they are different things.",3/15/2021,Messaging,Government,,Doug Harvey,0,0,
C8183,T1933,Neville Cannon,Gartner,Verbal Comment,Neutral,"Neville said that the ""legacy modernization"" market trend we've observed resonates strongly

""The single biggest reason gov leaders are moving to the cloud is legacy modernization.""
The pandemic highlighted the fragility of legacy applications",The single biggest reason government leaders are moving to the cloud is legacy modernization. The pandemic highlighted the fragility of legacy applications,3/18/2021,Market Dynamic,Government,,Doug Harvey,0,0,
C8182,T1863,Andrew Lerner,Gartner,Verbal Comment,Positive,"I agree wholeheartedly that there are multiple buying and multiple influencers at the infrastructure and at the app layer, which is kind of your leading point and makes a ton of sense. And I also agree there is a shift in influence going from infrastructure to application folks and I think that's an important aspect of your strategy.",,3/3/2021,Strategy,Networking,,Pere Monclus,0,0,
C8181,T1863,Andrew Lerner,Gartner,Verbal Comment,Positive,"most folks today don't tend to think about this holistically, they tend to think about it in features, or in pieces or functions, whether that's the developer, whether that's the networking person, what have you. And so to me, this is a business strategy to bring these pieces together in a holistic architecture. But it doesn't change the fact that a good percentage of buying will occur in the independent areas, as we well know with SD WAN and data center, and so to me, this is something that articulates how your pieces fit together. It makes logical sense.",,3/3/2021,Strategy,Networking,,Pere Monclus,1,0,
C8180,T1863,Andrew Lerner,Gartner,Verbal Comment,Positive,"Modern Network - this is a new , more advanced way to articulate the problem and steer a conversation",,3/3/2021,Strategy,Networking,,Pere Monclus,0,0,
C8179,T1863,Andrew Lerner,Gartner,Verbal Comment,Positive,it'll probably be a while before people get to wanting to buy in this kind of very broad way. There is a lot of individual excitement and interest in feature comparisons and bake offs at every individual one of these that is still extremely important today.,,3/3/2021,Strategy,Networking,,Pere Monclus,0,0,
C8178,T1863,Andrew Lerner,Gartner,Verbal Comment,Positive,"Pere – seeing a motion towards everything encrypted – and VMware is able to add a layer in between that that sits at the IP over IP – the moment you go end-to-end, the value goes in this layer. The other element is this notion that when you go towards the cloud, the two elements that are changing the perception on this best of breed is the encryption and the fact that if I have to now run multiple SaaS properties, and I have to do hop by hop decryption across multiple locations, the latency that they introduce is insane. This is why customers are considering a holistic approach - what we are saying is that there has to be some sort of consolidation at some point to minimize the encryption and the latencies of going across all those services.

Couldn't agree more. This is absolutely huge. This is like what we tell clients when we describe what SASE is -  it's not a collection of service chained things across multiple pops, it's an integrated chain.",,3/3/2021,Strategy,SASE,,Pere Monclus,0,0,
C8177,T1863,Andrew Lerner,Gartner,Verbal Comment,Positive,"From my perspective,  multi cloud by itself means the intentional use of separate cloud services for the same workload, when I'm referring to multi cloud, I'm referring to intentional multi cloud it’s not necessarily in multiple clouds, but when you apply multi cloud and networking, it immediately becomes the latter. Most enterprises are in multiple clouds, either by hook or by crook, intentional or unintentional. Now, how do we apply networking for that? That's what I think of when I think of multi cloud. I think of consistent application of services to get to the cloud, consistent application of services inside the cloud, and across cloud. Any kind of networking function that exists from VPN in to load balancing within, to transport across is an opportunity where you could have an abstraction layer, and essentially provide a multi cloud feature. So, to me multi cloud, it's very hard to say multi cloud is a market because it's an abstraction layer that sits on top of many markets. To me multi cloud is qualifier for routing, or VPN, for load balancing, and there's different layers of value and adoption for each one of those. When I think of multi cloud, which you articulated, which is, ‘we have POPs, we're going to put network functions, network security functions, particularly, along with our SD-WAN in those pops and we're going to allow people to connect into multiple public cloud providers. That's part of the story.",,3/3/2021,Strategy,SASE,,Pere Monclus,0,0,
C8176,T1863,Andrew Lerner,Gartner,Verbal Comment,Positive,"On edge computing as a service fitting in the SASE model – there's absolutely a need 'workload centric' SASE that applies in data center edge and compute locations. The same kind of architectural constructs that SASE addresses at edge it absolutely can address from a data center or cloud workload perspective, the notion of identity is different.",,3/3/2021,Strategy,SASE,,Pere Monclus,0,0,
C8175,T1863,Andrew Lerner,Gartner,Verbal Comment,Advice,getting a lot more client inquiry inbound about helping clients solve cloud networking problems - in the public clouds is somewhat a light area in terms of research at Gartner.,,3/3/2021,Awareness,Networking,,Pere Monclus,0,0,
C8174,T1909,Jonathan Forest,Gartner,Verbal Comment,Advice,"SASE is very disruptive to the managed service market and that is a way maybe to give the the providers some play there, otherwise, it's unclear where they fit in a true sense of the market.",,3/11/2021,Partnerships,SASE,,Sanjay Uppal,0,0,
C8173,T1844,Cliff Grossner,IHS Markit,Verbal Comment,Advice,Sees SASE as just a marketing term with no underpinning technology that might blow over in a few months,,3/1/2021,Messaging,SASE,,Karl Brown,0,0,
C8172,T1844,Cliff Grossner,IHS Markit,Verbal Comment,Advice,"If you want to have an edge discussion - your SASE seems only 'white collar' doesn't apply to the shop floor or anything. So here's where I think you may want to shoot the SASE thing and and go for a broader edge message where  you add another location which isn't white color, but you also bringing in the manufacturing world, because that's such a big important edge use case.",,3/1/2021,Messaging,SASE,,Karl Brown,0,0,
C8171,T1844,Cliff Grossner,IHS Markit,Verbal Comment,Advice,"you want your edge network intelligence to be at the edge. Visually, it wouldn't be so white color.",,3/1/2021,Messaging,SASE,,Karl Brown,0,0,
C8170,T1956,Brad Casemore,IDC,Verbal Comment,Neutral,"I think going forward with the confluence of not only the continued migration of apps to cloud, but the fact that these are becoming increasingly modern applications, drives the networking story higher up the stack to  layer seven. That was one of the reasons why on a multi cloud basis you saw F5 acquire Volterra , combined with a lot of other assets. It sounds like you're seeing a similar pattern that is likely to play out over the next few years.",,3/25/2021,Market Dynamic,Tanzu Service Mesh,,Pere Monclus,0,1,
C8169,T1924,Mauricio Sanchez,Dell Oro,Verbal Comment,Positive,Started restating things in the last couple of reports to reflect that VMware has been hitting some much larger numbers than what our previous estimates were. Beginning to see that  ADC vendors of yesterday are no longer the vendors we have today.,,3/16/2021,Market Dynamic,"NSX ALB (ADC, WAF)",,Chandra Sekhar,0,0,
C8168,T1924,Mauricio Sanchez,Dell Oro,Verbal Comment,Neutral,"in the ADC space right now, I think if I broke you guys out individually, you guys would come in number three in my tracking with F5 & Citrix taking the number one and number two spot,",,3/16/2021,Market Dynamic,"NSX ALB (ADC, WAF)",F5,Chandra Sekhar,0,0,
C8167,T1914,Andrew Lerner,Gartner,Verbal Comment,Neutral,"Lumen partnership - I don't see partnerships, between established commercial vendors creating a lot of innovation in the networking market, other than sales, go to market innovation. So I'm skeptical, but I'm hopeful.",,3/12/2021,Partnerships,SASE,,Sanjay Uppal,0,0,
C8166,T1926,Richard Bartley,Gartner,Verbal Comment,Positive,"There's different opinions in Gartner about whether SASE is a set of tools that form a market. But from my point of view, when people are asking me, how can I link things together in the best possible way to take advantage of network modernization, plus cloud security tools? And for me, it's a challenge. It's an architectural challenge,  it's not necessarily a market specific thing.  I think the more you can provide on the one orchestration facility, the better because that then lends itself to the goals of SASE, which is trying to simplify things.",,3/16/2021,Strategy,SASE,,Craig Connors,0,0,
C8165,T1926,Richard Bartley,Gartner,Verbal Comment,Positive,"Cloud delivered/ multi-cloud -  we really wanted to emphasize that because  when we look at the tools in cloud, that they're all starting to sort of become common sense. It's interesting that you're seeing that with the big picture of SASE with things like SWG, CASB, Fusion and things like that.",,3/16/2021,Strategy,SASE,,Craig Connors,0,0,
C8164,T1926,Richard Bartley,Gartner,Verbal Comment,Neutral,"firewall as a service seems to be something that keeps getting mentioned. We look at at what AWS and Azure are providing, they've started providing firewall as a service, and I get a lot of questions in that area. And then in SASE, the popularity of firewall as a service as a feature that people want is significant that kind of surprises me how popular it how popular the desire for firewall service was.",,3/16/2021,Strategy,SASE,AWS/Amazon,Craig Connors,0,0,
C8163,T1846,Dennis Smith,Gartner,Verbal Comment,Advice,"There seems to be a bit overload on the bottom’s up approach.  There is a lot of thinking about Tanzu traditional, not the applications.  Many who selected these products are more application focused, not infrastructure.  It’s a bit skewed on bottoms up, not top down approach. Bottom’s up approach is offered by a bunch of nameless vendors.  You can offer the top down as a key differentiator.",,3/1/2021,Developer Strategy,Management (vRealize),,Roy Ritthaler,0,0,
C8162,T1846,Dennis Smith,Gartner,Verbal Comment,Advice,"Tanzu and vRealize have different personas. Tanzu is there and is baked-in for these folks.  For the other folks, the Tanzu piece becomes key and the upper stack in applications comes more into play. Typically, a company isn’t competitive at both ends.  VMware is very competitive in both.  The question is how do you stretch to both ends?  It’s the grey areas where it maybe a challenge.  So much of the narrative is around the far left side.  The large base on is on the left.  As you get to complete with hyperscalers, this is where you need to progress to the right side.",,3/1/2021,Developer Strategy,Management (vRealize),,Roy Ritthaler,0,0,
C8161,T1846,Dennis Smith,Gartner,Verbal Comment,Advice,"Gartner is working on personas.  Dennis views as 4 legs in this market: AppDev teams (decreasing), DevOps, I&O, and Platform groups (growing). This group sits between AppDev and Traditional is key (SREs, support Clusters, work with Application Developers). I&O is merging into the Platform team.",,3/1/2021,Developer Strategy,Management (vRealize),,Roy Ritthaler,0,0,
C8160,T1846,Dennis Smith,Gartner,Verbal Comment,Advice,Modern Day I&O will look like the Platform Group.  They are the ones optimizing and running.  CCoE can involve any number of folks.  Platform is more SRE related.Key is what’s the profile of CCoE in that org.  In some orgs they are governance or procurement.,,3/1/2021,Developer Strategy,Management (vRealize),,Roy Ritthaler,0,0,
C8159,T1859,Pankaj Prasad,Gartner,Verbal Comment,Neutral,During demo on vROps 8.4.  Interested in what-if scenarios and schedular of actions.,,3/2/2021,Adoption,Management (vRealize),,Dave Overbeek,0,0,
C8158,T1873,Stephen Elliot,IDC,Verbal Comment,Positive,"“A lot of good execution from this group.  You are thinking about packaging and marketing across the board, it’s smart and great to see.  You can see those ingredients throughout this presentation.  Good job.”",,3/3/2021,Messaging,Management (vRealize),,Mark Leake,0,0,
C8157,T1873,Stephen Elliot,IDC,Verbal Comment,Advice,"As VMware expands into developers and security, “I agree it’s a rolling thunder and some parts are more mature than other.”",,3/3/2021,Messaging,Management (vRealize),,Mark Leake,1,0,
C8156,T1869,Mary Johnston Turner,IDC,Verbal Comment,Neutral,"“Fundamentally, I’m getting that the adoption is lower for SaaS than on-prem for vRealize.”",,3/3/2021,Messaging,Management (vRealize),,Mark Leake,0,0,
C8155,T1862,Alan Waite,Gartner,Verbal Comment,Neutral,"Regarding vROps Cloud and CloudHealth, “So not a future with one product yet.”",,3/3/2021,Messaging,Management (vRealize),,Mark Leake,0,0,
C8154,T1875,Bola Rotibi,CCS Insight,Verbal Comment,Positive," “Wow, what a briefing on cloud. So many features, capabilities and products. Not surprised at VMware’s commanding position in the data centre and their potential in maximising this position in the cloud!! I’m impressed but it is pretty overwhelming.”",,3/4/2021,Messaging,Management (vRealize),,Mark Leake,0,0,
C8153,T1880,Roy Illsley,Omdia,Verbal Comment,Neutral,"Asked about data management. Can you right size based on the SLA of a workload based on historical performance data? Will flow based app discovery work for containers/microservices as well as VMs?
-Customers can rightsize based on the historical performance, yes.  We watch the workload and understand what it ""needs"" and then recommend based on that. Customers can choose to right size up or down based on that recommendation or do a portion of it if they feel more comfortable. We project the demand in the future, and the recommendations are such that it will handle the workload between now and 150 days in the future.
-Plus, the differentiation is that our recommendations are based on projected demand in the future, not just the utilization in the past.
              -For the flow-based app discovery, at this time it only works with VM's currently.",,3/4/2021,Messaging,Management (vRealize),,Mark Leake,0,0,
C8152,T1877,Naveen Chhabra,Forrester,Verbal Comment,Positive,Demo on vRealize Q1 updates and MOAD. “This is one of my best sessions today!.”,,3/4/2021,Features or products (included/missing/recommended),Management (vRealize),,John Dias,0,0,
C8151,T1877,Naveen Chhabra,Forrester,Verbal Comment,Neutral,Showed and discussed in detail how and what vRealized has SaaS’ifed.,,3/4/2021,Features or products (included/missing/recommended),Management (vRealize),,John Dias,0,0,
C8150,T1877,Naveen Chhabra,Forrester,Verbal Comment,Advice,"“I see a lot of hybrid cloud management tools.  I see it on a collision path in the future for on-prem and public cloud operating at the same time.”

VMware agreed and today, we have a cloud agnostic capability that can be applied to any of those environments.  It’s our first step and we are expanding. Naveen was impressed and stated, “That’s good.”",,3/4/2021,Features or products (included/missing/recommended),Management (vRealize),,John Dias,0,0,
C8149,T1877,Naveen Chhabra,Forrester,Verbal Comment,Neutral,"Discussed Infrastructure as Code, pricing and packaging of vRA.",,3/4/2021,Features or products (included/missing/recommended),Management (vRealize),,John Dias,0,0,
C8148,T1895,Josh Chessman,Gartner,Verbal Comment,Neutral,Interested in how vRNI will fit into Tanzu.,,3/9/2021,Features or products (included/missing/recommended),Management (vRealize),,George Hamilton,0,0,
C8147,T1897,Ross Winser,Gartner,Verbal Comment,Neutral,Interested in CloudHealth's  CH Flex Reports and enterprise agreements.  Also interested in vROps integrations with CloudHealth,,3/9/2021,Features or products (included/missing/recommended),Management (vRealize),,George Hamilton,0,0,
C8146,T1855,Sam Higgins,Forrester,Verbal Comment,Neutral,Interested in Skyline and how it is part of the larger MVware Success 360 program.,,3/1/2021,Features or products (included/missing/recommended),Management (vRealize),,Mark Leake,0,0,
C8145,T1855,Sam Higgins,Forrester,Verbal Comment,Positive,"Forrester’s Sam Higgins, “I hadn’t thought about it like that (regarding vRealize Cloud Universal). Makes sense and the multi-cloud angle plays to VMware strengths.”",,3/1/2021,Features or products (included/missing/recommended),Management (vRealize),,Mark Leake,0,0,
C8144,T1855,Sam Higgins,Forrester,Verbal Comment,Positive,"“One of the challenges is the transformation of services.  You have reduced the lag time.  That’s great.”

Interested in company strategy around how use practices and partners to deliver business outcomes.",,3/1/2021,Features or products (included/missing/recommended),Management (vRealize),,Mark Leake,0,0,
C8143,T1920,Arun Chandrasekaran,Gartner,Verbal Comment,Neutral,"Asked about Code Stream and integration with other solutions outside of VMware.  Yes, it can like Jenkins.",,3/16/2021,Features or products (included/missing/recommended),Management (vRealize),,Chris McClanahan,0,0,
C8142,T1920,Arun Chandrasekaran,Gartner,Verbal Comment,Neutral,Liked that customers don’t need to know a lot of code for cloud templates.  Extensibility is vast and you might need to write a python script. We also have a complete UI capability to create code.  We cater to every level of consumer.,,3/16/2021,Features or products (included/missing/recommended),Management (vRealize),,Chris McClanahan,0,0,
C8141,T1920,Arun Chandrasekaran,Gartner,Verbal Comment,Neutral,Very interested in vRA integrations with Tanzu.  Keep up to speed on all updates and integrations.,,3/16/2021,Features or products (included/missing/recommended),Management (vRealize),,Chris McClanahan,0,0,
C8140,T1929,Marco Meinardi,Gartner,Verbal Comment,Advice,"Asked about Governance and why it is not strong in messaging. It should be.

VMware response: It’s about guardrails for consumption of cloud services, compliance of services and guidelines.  It’s a facilitation role for CloudHealth and is used a lot in their messaging. It’s a pillar in CCOE.",,3/17/2021,Features or products (included/missing/recommended),Management (vRealize),,Mark Leake,0,0,
C8139,T1929,Marco Meinardi,Gartner,Verbal Comment,Neutral,Discussed the CloudHealth Health Dashboards.  They go beyond costing,,3/17/2021,Features or products (included/missing/recommended),Management (vRealize),,Mark Leake,0,0,
C8138,T1944,Gregg Siegfried,Gartner,Verbal Comment,Positive,“I’m all for better monitoring.  I’m glad it does this (monitor AWS services in vROps).  Some folks have an increasing complex portfolio with AWS.”,,3/23/2021,Features or products (included/missing/recommended),Management (vRealize),,Mark Leake,0,0,
C8137,T1934,Milind Govekar,Gartner,Verbal Comment,Advice,You can build a maturity model and suggest best practices and guidance.  It actually becomes a benchmarking and maturity model that you can use with your clients. The opportunity increases for you and clients.,,3/19/2021,Features or products (included/missing/recommended),Management (vRealize),,Purnima Padmanabhan,0,0,SAS
C8136,T1934,Milind Govekar,Gartner,Verbal Comment,Advice,Developers focusing on management seem to like SaaS and consider cloud native tools.  They need to realize that VMware is not only data center.  Messaging to SaaS needs to be stronger to catch the shift as customers switch.,,3/19/2021,Adoption,Management (vRealize),,Purnima Padmanabhan,0,0,SAS
C8135,T1934,Milind Govekar,Gartner,Verbal Comment,Advice,"Increasingly, large companies have emergence of multiple tools.  The platform strategy helps you position for 3 models: rip and replace, leave and layer, and integrate to consolidate. CFOs are having the cost discussion and making independent decisions when it comes to cost management tools.  Then, they realize the need to extend it into other areas.  This leads to the advantage of a platform.",,3/19/2021,Adoption,Management (vRealize),,Purnima Padmanabhan,0,0,SAS
C8134,T1934,Milind Govekar,Gartner,Verbal Comment,Advice,"Executives can use management data for business management.  They can make business decisions based on data.  This is where the automation and cost comes into play with a business value stream going across.  Cost elements add up and the ability to stitch all together to build a full value stream that is accurate.  You have the elements but you have yet to stitch it all together.  If you do it, it will be a real business transformation message.",,3/19/2021,Features or products (included/missing/recommended),Management (vRealize),,Purnima Padmanabhan,0,0,SAS
